uid,grant_refe,project_na,project_ty,osgr,easting,northing,site_name,restoratio,start_date,end_date,financial_year_end,snh_area,unitary_lo,applicant_type
12552-NS9200011200,12552,RESTORATION PLAN FOR PEATLANDS ON TROLOSS AND OVER FINGLAND FARMS,Feasibility,NS9200011200,292000,611200,Troloss and Over Fingland Farms,Troloss Farms,,,2014-15,Strathclyde and Ayrshire,Dumfries & Galloway,Private
12552-NS9300005400,12552,RESTORATION PLAN FOR PEATLANDS ON TROLOSS AND OVER FINGLAND FARMS,Feasibility,NS9300005400,293000,605400,Troloss and Over Fingland Farms,Troloss Farms,,,2014-15,Strathclyde and Ayrshire,Dumfries & Galloway,Private
12557-NS8229136141,12557,FES PEATLAND RESTORATION AND MONITORING PROJECT FINAL ROUND,Restoration,NS8229136141,282291,636141,Coalburn Moss,FES - Scotland,18/11/2014,31/03/2015,2014-15,Strathclyde and Ayrshire,Dumfries & Galloway,Public
500759-NS7793345991,500759,Cander Moss SSSI - Peatland Restoration demonstration project,Restoration,NS7793345991,277933,645991,Cander Moss,SWT - Lowland challenge,,,2015-16,Strathclyde and Ayrshire,Dumfries & Galloway,NGO
501000-NS8300038200,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS8300038200,283000,638200,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Dumfries & Galloway,Public
501000-NS7770038800,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS7770038800,277700,638800,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Dumfries & Galloway,Public
501000-NS7700037200,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS7700037200,277000,637200,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Dumfries & Galloway,Public
501000-NS8050036200,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS8050036200,280500,636200,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Dumfries & Galloway,Public
501611-NS944036,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS944036,294400,603600,Sheil Dod,,,,2020-21,,Dumfries & Galloway,Private
501611-NS941028,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS941028,294100,602800,Wedder Law,,,,2020-21,,Dumfries & Galloway,Private
501611-NS943018,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS943018,294300,601800,Thick Cleugh Moss,,,,2020-21,,Dumfries & Galloway,Private
12471-NS6256038857,12471,Peatland Restoration at Rench Farm,Other,NS6256038857,262560,638857,Rench Farm,Rench farm,,,2014-15,Strathclyde and Ayrshire,Fife & Central Belt,Private
12484-NS972480,12484,Peatland Restoration - FES additional,Restoration,NS972480,297200,648000,Carnwath Moss,FES - Scotland,22/04/2014,31/03/2015,2014-15,Strathclyde and Ayrshire,Fife & Central Belt,Public
500544-NS6587755339,500544,Bog Squad - 2015-2016,Other,NS6587755339,265877,655339,,Butterfly Conservation - Bog Squad - Scotland,,,2015-16,Strathclyde and Ayrshire,Fife & Central Belt,Private
500782-NS971479,500782,FES - Various Sites - Multiple Applications,Restoration,NS971479,297100,647900,,,,,2015-16,Strathclyde and Ayrshire,Fife & Central Belt,Public
500945-NS978498,500945,Scottish Lowlands Forest District,Restoration,NS978498,297800,649800,Woodend,,,,2017-19,,Fife & Central Belt,Public
500974-NS9598651054,500974,Lanarkshire's Large Heaths and Mosses,Restoration,NS9598651054,295986,651054,Braehead Moss - Lanarkshire,Butterfly Conservation - Lanarkshire large heaths and moss,24/10/2018,25/10/2018,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,NGO
500974-NS9236248559,500974,Lanarkshire's Large Heaths and Mosses,Restoration,NS9236248559,292362,648559,Lanarkshire - Blacklaw Moss Wood,Butterfly Conservation - Lanarkshire large heaths and moss,,,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,NGO
500977-NS6345151171,500977,Langlands Moss Feasibility Study,Feasibility,NS6345151171,263451,651171,Langlands Moss,South Lanarkshire Council,,,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,Public
500981-NS9740347358,500981,Feasibility Study at Carnwarth Moss,Feasibility,NS9740347358,297403,647358,Carnwarth Moss,Lee and Carnwarth Estate,,,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,Private
