uid,grant_refe,project_na,project_ty,osgr,easting,northing,site_name,restoratio,start_date,end_date,financial_year_end,snh_area,unitary_lo,applicant_type
500959-NT1776616531,500959,Winterhopeburn Farm Peatland Restoration,Restoration,NT1776616531,317766,616531,Winterhopeburn Farm,Wemyss & March Estates,01/11/2017,20/12/2017,2017-18,Southern Scotland,Scottish Borders,Private
12434-NT158145,12434,Peatland Restoration - Carrifran Wildwood - Survey,Feasibility,NT158145,315800,614500,"Carrifran, Little Firth Hope",Borders Forest Trust - Carrifran Wildwood,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12434-NT145143,12434,Peatland Restoration - Carrifran Wildwood - Survey,Feasibility,NT145143,314500,614300,"Carrifran, Little Firth Hope",Borders Forest Trust - Carrifran Wildwood,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY282745,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY282745,328200,574500,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY318737,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY318737,331800,573700,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY323717,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY323717,332300,571700,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY140700,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY140700,314000,570000,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY330725,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY330725,333000,572500,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY081875,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY081875,308100,587500,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12466-NT1574914422,12466,PEATLAND RESTORATION - CARRIFRAN WILDWOOD - LITTLE FIRTHHOPE,Restoration,NT1574914422,315749,614422,"Carrifran, Little Firth Hope",Borders Forest Trust - Carrifran Wildwood,,,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12474-NX2666058501,12474,Derskelpin Farm and SSSI Restoration,Feasibility,NX2666058501,226660,558501,Derskelpin Farm,Derskelpin Farm,,,2014-15,Southern Scotland,Dumfries & Galloway,Private
12484-NX331678,12484,Peatland Restoration - FES additional,Restoration,NX331678,233100,567800,Ring Moss,FES - Scotland,22/04/2014,31/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,Public
12499-NX9716469832,12499,Kirkconnell Flow South West - Peatland Restoration,Restoration,NX9716469832,297164,569832,Kirkconnell Flow,SNH,,,,Southern Scotland,Dumfries & Galloway,
12500-NX516659,12500,Scottish Natural Heritage - Cairnsmore of Fleet NNR – SSSI – Biosphere Reserve,Restoration,NX516659,251600,565900,Cairnsmore of Fleet NNR,,,,,,Dumfries & Galloway,
12507-NY140700,12507,Restoration of Sites in Private Ownership,Other,NY140700,314000,570000,,,,,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12507-NY323717,12507,Restoration of Sites in Private Ownership,Other,NY323717,332300,571700,,,,,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12508-NX4278258900,12508,RESTORATION OF SWT SITES,Restoration,NX4278258900,242782,558900,Carsegowan Moss,SWT - Lowland challenge,25/08/2014,31/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12513-NX8912258429,12513,BANKS MOSS RESTORATION PLAN,Feasibility,NX8912258429,289122,558429,Banks Moss,Drumstinchall Estate,06/08/2014,30/09/2014,2014-15,Southern Scotland,Dumfries & Galloway,Private
12524-NX2756071450,12524,Dargoal Peatland Restoration Project,Restoration,NX2756071450,227560,571450,Dargoal,,01/08/2014,05/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12526-NY0489268966,12526,Longbridge Muir Restoration Project,Restoration,NY0489268966,304892,568966,Longbridge Muir,SNH,01/07/2014,31/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,public
12550-NY3233771618,12550,RESTORATION AT COWGARTH FLOW,Restoration,NY3233771618,332337,571618,COWGARTH FLOW,SWT - Lowland challenge,20/10/2014,31/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12561-NX2666058501,12561,"DERSKELPIN FARM & SSSI RESTORATION, STAGE 2",Restoration,NX2666058501,226660,558501,Derskelpin Farm (Derskelpin Moss),Derskelpin Farm,21/10/2014,31/01/2015,2014-15,Southern Scotland,Dumfries & Galloway,Private
12561-NX2466357625,12561,"DERSKELPIN FARM & SSSI RESTORATION, STAGE 2",Restoration,NX2466357625,224663,557625,Derskelpin Farm (Flow of Dergoals),Derskelpin Farm,21/10/2014,31/01/2015,2014-15,Southern Scotland,Dumfries & Galloway,Private
12566-NX4429560404,12566,Moss of Cree Restoration Project,Restoration/survey,NX4429560404,244295,560404,Moss of Cree.,Moss of Cree,28/10/2014,28/02/2015,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12567-NT158145,12567,Carrifran Wildwood Little Firth Hope Peatland Restoration,Restoration/survey,NT158145,315800,614500,"Carrifran, Little Firth Hope",Borders Forest Trust - Carrifran Wildwood,06/10/2014,31/12/2014,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12569-NX2787270021,12569,Flow of Kilquhockdale Peatland Restoration Project Phase 1,Other,NX2787270021,227872,570021,Flow of Kilquhockdale,Galloway Fisheries Trust,,,2014-15,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5652169123,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5652169123,256521,569123,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5770768537,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5770768537,257707,568537,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5631665412,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5631665412,256316,565412,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5831163304,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5831163304,258311,563304,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5318467628,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5318467628,253184,567628,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5188566661,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5188566661,251885,566661,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5205066250,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5205066250,252050,566250,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX6033065110,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX6033065110,260330,565110,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500943-NX7810761934,500943,Peatland for People/Bog Squad,Other,NX7810761934,278107,561934,,Butterfly Conservation - Bog Squad - Scotland,01/04/2017,31/03/2018,2017-18,Southern Scotland,Dumfries & Galloway,NGO
500982a-NX4440060400,500982a,Moss of Cree Restoration (Phase 1),Restoration,NX4440060400,244400,560400,Moss of Cree,,20/11/2017,23/02/2018,2017-18,Southern Scotland,Dumfries & Galloway,Private
500982b-NX4440060400,500982b,Moss of Cree Restoration (Phase 2),Restoration,NX4440060400,244400,560400,Moss of Cree,,20/09/2018,08/02/2019,2018-19,Southern Scotland,Dumfries & Galloway,Private
501049-NX563651,501049,D&G Water Quality Monitoring Project,Water Quality Monitoring,NX563651,256300,565100,"Fleet Catchment
",Galloway Fisheries Trust,01/02/2018,31/03/2019,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501049-NX443604,501049,D&G Water Quality Monitoring Project,Water Quality Monitoring,NX443604,244300,560400,Moss of Cree,Galloway Fisheries Trust,01/02/2018,31/03/2019,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501049-NX510786,501049,D&G Water Quality Monitoring Project,Water Quality Monitoring,NX510786,251000,578600,Beggers Moss,Galloway Fisheries Trust,01/02/2018,31/03/2019,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501049-NX275715,501049,D&G Water Quality Monitoring Project,Water Quality Monitoring,NX275715,227500,571500,"Bladnoch Catchment (upper)
",Galloway Fisheries Trust,01/02/2018,31/03/2019,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501050-NX1500070000,501050,Luce Catchment Feasibility Study,Feasibility,NX1500070000,215000,570000,Luce,Galloway Fisheries Trust,,,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501061-NY039712,501061,Water Monitoring at Torrachilty and Lochar Mosses,Monitoring,NY039712,303900,571200,Lochar Mosses,FES - Scotland,,,2017-18,Southern Scotland,Dumfries & Galloway,Public
501067-NX9728769808,501067,Peatland for People/Bog Squad,Other,NX9728769808,297287,569808,Kirkconnell Flow,Butterfly Conservation - Bog Squad - Scotland,03/05/2018,16/04/2019,2018-19,Southern Scotland,Dumfries & Galloway,NGO
501144-NX509781,501144,Various sites - FES,Restoration,NX509781,250900,578100,South Dee,FES - Scotland,21/11/2019,20/01/2019,2018-19,Southern Scotland,Dumfries & Galloway,Public
501167-NT157144,501167,Little Firthhope Peatland Restoration Project Phase 2,Restoration,NT157144,315700,614400,Little Firthhope,,,,2018-19,Southern Scotland,Dumfries & Galloway,NGO
501168-NT173165,501168,Grey Mares Tail Restoration Project,Restoration,NT173165,317300,616500,Loch Skeen - Grey Mare’s Tail,,,,2018-19,Southern Scotland,Dumfries & Galloway,NGO
501254-NX4444060682,501254,Restoration at Moss of Cree (Phase  3),Restoration,NX4444060682,244440,560682,Moss of Cree - Phase 3 area,,,,2019-20,Southern Scotland,Dumfries & Galloway,Private
501289-NY03877314,501289,Restoration on Various NEW Sites  - combined / replaced by 501288,Restoration,NY03877314,303870,573140,Racks Moss I Lochar Mosses,FES - Scotland,,,2019-20,Southern Scotland,Dumfries & Galloway,Public
501289-NX26997061,501289,Restoration on Various NEW Sites  - combined / replaced by 501288,Restoration,NX26997061,226990,570610,Tannylaggie I,FES - Scotland,,,2019-20,Southern Scotland,Dumfries & Galloway,Public
501306-NX970969,501306,Kirkconnell Flow South West - Peatland Restoration,Restoration,NX970969,297000,596900,Kirkconnell Flow NR,SNH,14/10/2019,20/01/2020,2019-20,Southern Scotland,Dumfries & Galloway,public
501611-NS929031,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS929031,292900,603100,Carsehope Middens,,,,2020-21,,Dumfries & Galloway,Private
501611-NS923027,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS923027,292300,602700,Smurring Haggs,,,,2020-21,,Dumfries & Galloway,Private
501611-NS945003,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS945003,294500,600300,Gana Hill,,,,2020-21,,Dumfries & Galloway,Private
501611-NS936012,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS936012,293600,601200,Berry Rig,,,,2020-21,,Dumfries & Galloway,Private
501649-NT160165,501649,Borders Forest Trust Blanket Bog Restoration Project,Restoration,NT160165,316000,616500,Brad Moss (T&G),Borders Forest Trust,,,2020-21,,Dumfries & Galloway,NGO
501649-NT157145,501649,Borders Forest Trust Blanket Bog Restoration Project,Restoration,NT157145,315700,614500,Little Firthhope (WW),Borders Forest Trust,,,2020-21,,Dumfries & Galloway,NGO
501650-NX528641,501650,Cairnsmore NNR  - Peatland Restoration 2020,Restoration,NX528641,252800,564100,Craig Hill,,,,2020-21,,Dumfries & Galloway,Public
501650-NX553631,501650,Cairnsmore NNR  - Peatland Restoration 2021,Restoration,NX553631,255300,563100,Pulwhanner East,,,,2020-21,,Dumfries & Galloway,Public
501650-NX552627,501650,Cairnsmore NNR  - Peatland Restoration 2022,Restoration,NX552627,255200,562700,Pulwhanner West,,,,2020-21,,Dumfries & Galloway,Public
12359-NS630250,12359,Airds Moss Peatland Restoration,Restoration,NS630250,263000,625000,Airds Moss,RSPB  - East Ayrshire,,,2012-13,Strathclyde and Ayrshire,Dumfries & Galloway,NGO
12484-NX451966,12484,Peatland Restoration - FES additional,Restoration,NX451966,245100,596600,Finlas,FES - Scotland,22/04/2014,31/03/2015,2014-15,Strathclyde and Ayrshire,Dumfries & Galloway,Public
12527-NS4888918583,12527,BARLOSH MOSS SSSI - WOODLAND REMOVAL,Restoration,NS4888918583,248889,618583,Barlosh Moss,Barlosh Moss SSSI,20/10/2014,28/02/2015,2014-15,Strathclyde and Ayrshire,Dumfries & Galloway,Private
12528-NS4654406351,12528,EAST AYRSHIRE NATURE NETWORK RE-WETTING DALMELLINGTON MOSS WILDLIFE RESERVE [SSSI],Restoration,NS4654406351,246544,606351,Dalmellington Moss,East Ayrshire Coalfield Environment Initiative,01/09/2014,21/01/2015,2014-15,Strathclyde and Ayrshire,Dumfries & Galloway,NGO
500975-NS5728030605,500975,Dumfries and Sorn Estates Surveys (East Ayrshire Coalfield Nature Network),Feasibility,NS5728030605,257280,630605,Dumfries and Sorn Estates,East Ayrshire Coalfield Environment Initiative,,,2017-18,Strathclyde and Ayrshire,Dumfries & Galloway,NGO
500975-NS6757021280,500975,Dumfries and Sorn Estates Surveys (East Ayrshire Coalfield Nature Network),Feasibility,NS6757021280,267570,621280,Dumfries and Sorn Estates,East Ayrshire Coalfield Environment Initiative,,,2017-18,Strathclyde and Ayrshire,Dumfries & Galloway,NGO
501044-NS6520010300,501044,Restoration and Peat Depth Survey at Blackdams,Restoration,NS6520010300,265200,610300,Blackdams,Dalhanna Farming Group,06/12/2018,20/12/2018,2017-18,Strathclyde and Ayrshire,Dumfries & Galloway,Private
501118-NS565306,501118,Nature Network Legacy,Restoration,NS565306,256500,630600,"Weitshaw Muir, Sorn Estate (P2)",East Ayrshire Coalfield Environment Initiative,05/12/2018,21/01/2019,2018-19,Strathclyde and Ayrshire,Dumfries & Galloway,NGO
501121-NS707332,501121,Tardoes Farm Peatland Restoration Project (Phase 1),restoration,NS707332,270700,633200,Tardoes West - Compartments 1 and 4,Tardoes Farm,04/01/2019,27/03/2019,2018-19,Strathclyde and Ayrshire,Dumfries & Galloway,Private
501121-NS720331,501121,Tardoes Farm Peatland Restoration Project (Phase 2),restoration,NS720331,272000,633100,Tardoes East - Compartments 2 and 3,Tardoes Farm,,,2018-19,Strathclyde and Ayrshire,Dumfries & Galloway,Private
501255-NS707332,501255,Tardoes Farm Peatland Restoration Project (Phase 2),Restoration,NS707332,270700,633200,Tardoes Farm West,,09/09/2019,07/02/2020,2019-20,Strathclyde and Ayrshire,Dumfries & Galloway,Private
501255-NS720331,501255,Tardoes Farm Peatland Restoration Project (Phase 2),Restoration,NS720331,272000,633100,Tardoes Farm East,,09/09/2019,07/02/2020,2019-20,Strathclyde and Ayrshire,Dumfries & Galloway,Private
501255-NS731324,501255,Tardoes Farm Peatland Restoration Project (Phase 2),Restoration,NS731324,273100,632400,Tardoes Farm - Extension,,09/09/2019,07/02/2020,2019-20,Strathclyde and Ayrshire,Dumfries & Galloway,Private
12435-NS371451,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NS371451,237100,645100,Multiple sites,SWT - Lowland challenge,,,2013-14,Strathclyde and Ayrshire,Fife & Central Belt,NGO
12554-NS4436053240,12554,Knockmade Moss Restoration Plan,Feasibility,NS4436053240,244360,653240,Knockmade Moss,Knockmade Moss,,,2014-15,Strathclyde and Ayrshire,Fife & Central Belt,Private
12557-NS5435340571,12557,FES PEATLAND RESTORATION AND MONITORING PROJECT FINAL ROUND,Feasibility,NS5435340571,254353,640571,Whitelees,FES - Scotland,18/11/2014,31/03/2015,2014-15,Strathclyde and Ayrshire,Fife & Central Belt,Public
12564-NT5578561056,12564,LAMMER LAW BLANKET BOG RESTORATION,Restoration,NT5578561056,355785,661056,Lammer Law.,Hopes Estate,04/12/2014,20/03/2015,2014-15,Forth,Scottish Borders,Private
500790-NT5700261464,500790,Lammer Law Blanket Bog Restoration 2015,Restoration,NT5700261464,357002,661464,Lammer Law,Hopes Estate,,,2015-16,Forth,Scottish Borders,Private
501261-NB391288,501261,Restoration at Loch  Orasaigh (NEW APPLICATION),Restoration,NB391288,139100,928800,Loch Orasaigh - LOR001A,,02/09/2019,03/10/2019,2019-20,Argyll and the Outer Hebrides,Outer Hebrides,Public
501261-NB395286,501261,Restoration at Loch  Orasaigh (NEW APPLICATION),Restoration,NB395286,139500,928600,Loch Orasaigh - LOR001B,,02/09/2019,03/10/2019,2019-20,Argyll and the Outer Hebrides,Outer Hebrides,Public
501644-NB317472,501644,Restoration at Arnol,Restoration,NB317472,131700,947200,ARNOL-01,,,,2020-21,,Outer Hebrides,Private
12411-NS8650271041,12411,Peatland Restoration Fund - Bog Squad,Other,NS8650271041,286502,671041,"Blairbeuch, cander moss, easter drumclair, kingshill, Logierait mire SSSI, salterhill, wester moss",Butterfly Conservation - Bog Squad - Scotland,01/01/2014,31/03/2015,2014-15,Forth,Fife & Central Belt,NGO
12411-NS8626971536,12411,Peatland Restoration Fund - Bog Squad,Other,NS8626971536,286269,671536,"Blairbeuch, cander moss, easter drumclair, kingshill, Logierait mire SSSI, salterhill, wester moss",Butterfly Conservation - Bog Squad - Scotland,01/01/2014,31/03/2015,2014-15,Forth,Fife & Central Belt,NGO
500908-NS8600071000,500908,Bog Squad,Staff time,NS8600071000,286000,671000,Blairbeich Bog/ Black Moss/ East Drumclair/ Kingshill,Butterfly Conservation - Bog Squad - Scotland,,,2016-17,Forth,Fife & Central Belt,NGO
12360-NC943457,12360,Restoring the Peatlands of the Flow Country,Restoration,NC943457,294300,945700,Flow Country- Bhaird,RSPB - Forsinard,18/02/2013,26/03/2013,2012-13,Northern Isles and the Northern Highland,Highlands,NGO
12360-NC924491,12360,Restoring the Peatlands of the Flow Country,Restoration,NC924491,292400,949100,Flow Country- Clach Geala,RSPB - Forsinard,18/02/2013,26/03/2013,2012-13,Northern Isles and the Northern Highland,Highlands,NGO
12360-NC952454,12360,Restoring the Peatlands of the Flow Country,Restoration,NC952454,295200,945400,Flow Country- South Fideag,RSPB - Forsinard,18/02/2013,26/03/2013,2012-13,Northern Isles and the Northern Highland,Highlands,NGO
12360-NC953468,12360,Restoring the Peatlands of the Flow Country,Restoration,NC953468,295300,946800,Flow Country- Leir,RSPB - Forsinard,18/02/2013,26/03/2013,2012-13,Northern Isles and the Northern Highland,Highlands,NGO
12410-NC555429,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,Other,NC555429,255500,942900,A'Mhoine,Wildland ltd - 5 Northern Estates,,,2014-15,Northern Isles and the Northern Highland,Highlands,Private
12410-NC556436,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,Other,NC556436,255600,943600,A'Mhoine,Wildland ltd - 5 Northern Estates,,,2014-15,Northern Isles and the Northern Highland,Highlands,Private
12410-NC560439,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,Other,NC560439,256000,943900,A'Mhoine,Wildland ltd - 5 Northern Estates,,,2014-15,Northern Isles and the Northern Highland,Highlands,Private
12410-NC564432,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,Other,NC564432,256400,943200,A'Mhoine,Wildland ltd - 5 Northern Estates,,,2014-15,Northern Isles and the Northern Highland,Highlands,Private
12410-NC568426,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,Other,NC568426,256800,942600,A'Mhoine,Wildland ltd - 5 Northern Estates,,,2014-15,Northern Isles and the Northern Highland,Highlands,Private
12414-NH2804015350,12414,Dundreggan Peatland Restoration Pilot Project,Restoration,NH2804015350,228040,815350,Dundreggan,Dundreggan,27/11/2013,31/03/2015,2014-15,South Highland,Highlands,NGO
12419-NC9176949874,12419,Forsinain Hill Forest to Bog Restoration Project,Restoration,NC9176949874,291769,949874,Forsinain (Talaheel),RSPB - Forsinard,02/09/2013,06/09/2016,2013-14,Northern Isles and the Northern Highland,Highlands,NGO
12419-NC9450048834,12419,Forsinain Hill Forest to Bog Restoration Project,Restoration,NC9450048834,294500,948834,Forsinain (Talaheel),RSPB - Forsinard,02/09/2013,06/09/2016,2013-14,Northern Isles and the Northern Highland,Highlands,NGO
12439-NH3468727023,12439,Peatland Restoration Fund - Corrimony Feasibility Project,Feasibility,NH3468727023,234687,827023,Corrimony,RSPB - Corrimony,15/11/2013,,2013-14,South Highland,Highlands,NGO
12440-NC1798207983,12440,Peatland Restoration - Drumrunie Estate,Restoration,NC1798207983,217982,907983,Drumrunie Estate,Drumrunie Estate,26/11/2013,01/05/2015,2013-14,South Highland,Highlands,NGO
12444-NC951487,12444,Carbon Fuel Cell for the Flow Country,Monitoring,NC951487,295100,948700,Flow Country,,,,2013-14,,Highlands,Private
12445-NC907473,12445,Forest Flux Tower,Monitoring,NC907473,290700,947300,,,,,2014-15,,Highlands,Private
12472-ND749391,12472,Peatland Restoration - Rimsdale Forest,Restoration,NC749391,374900,939100,Rimsdale forest,,,,2013-14,,Highlands,
12484-ND084527,12484,Peatland Restoration - FES additional,Restoration,ND084527,308400,952700,Peat workings,FES - Scotland,22/04/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,Public
12484-ND291426,12484,Peatland Restoration - FES additional,Restoration,ND291426,329100,942600,Hill of Yarrows,FES - Scotland,22/04/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,Public
12484-NC533234,12484,Peatland Restoration - FES additional,Restoration,NC533234,253300,923400,Druim na Capulich,FES - Scotland,22/04/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,Public
12484-NC564207,12484,Peatland Restoration - FES additional,Restoration,NC564207,256400,920700,Lub Ruadh,FES - Scotland,22/04/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,Public
12484-NC590168,12484,Peatland Restoration - FES additional,Restoration,NC590168,259000,916800,Dail na Copaig,FES - Scotland,22/04/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,Public
12484-ND228463,12484,Peatland Restoration - FES additional,Restoration,ND228463,322800,946300,Rowens Dubh Lochs,FES - Scotland,22/04/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,Public
12484-NH483640,12484,Peatland Restoration - FES additional,Restoration,NH483640,248300,864000,Cnoc a Bhuiridh,FES - Scotland,22/04/2014,31/03/2015,2014-15,South Highland,Highlands,Public
12489-NC9434246130,12489,PEATLAND RESTORATION - FORSINARD FLOWS - 2014-2015,Restoration,NC9434246130,294342,946130,Forsinard Flows (Clach Geala),RSPB - Forsinard,01/07/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,NGO
12489-ND0214047456,12489,PEATLAND RESTORATION - FORSINARD FLOWS - 2014-2015,Restoration,ND0214047456,302140,947456,Forsinard Flows (Clach Geala),RSPB - Forsinard,01/07/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,NGO
12489-NC9231848853,12489,PEATLAND RESTORATION - FORSINARD FLOWS - 2014-2015,Restoration,NC9231848853,292318,948853,Forsinard Flows (Clach Geala),RSPB - Forsinard,01/07/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,NGO
12519-NH3494071776,12519,STRATHVAICH PEATLAND RESTORATION,Feasibility,NH3494071776,234940,871776,Strathvaich,Strathvaich Estate,,,2014-15,South Highland,Highlands,Private
12535-NH2820015400,12535,Dundreggan Peatland Restoration Pilot Project Phase 2,Restoration,NH2820015400,228200,815400,Dundreggan,Trees for life,,,2014-15,South Highland,Highlands,NGO
12555-NC866402,12555,The Peatlands of Caithness and Sutherland Management Strategy Consultation (Parts I and II),Other,NC866402,286600,940200,Caithness and Sutherland,,,,2014-15,,Highlands,
12556-NC866402,12556,The Flow Country proposed World Heritage Site (Comparative Study),Other,NC866402,286600,940200,Flow Country,,,,2014-15,Northern Isles and the Northern Highland,Highlands,
12557-NC309098,12557,FES PEATLAND RESTORATION AND MONITORING PROJECT FINAL ROUND,Restoration,NC309098,230900,909800,Loch Ailsh,FES - Scotland,18/11/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,Public
12557-NC3153204840,12557,FES PEATLAND RESTORATION AND MONITORING PROJECT FINAL ROUND,Restoration,NC3153204840,231532,904840,Craggie,FES - Scotland,18/11/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,Public
12557-NC5714219253,12557,FES PEATLAND RESTORATION AND MONITORING PROJECT FINAL ROUND,Restoration,NC5714219253,257142,919253,Sheepfold Wood,FES - Scotland,18/11/2014,31/03/2015,2014-15,Northern Isles and the Northern Highland,Highlands,Public
12571-NH360277,12571,CORRIMONY PEATLAND MANAGEMENT - PHASE 1,Restoration,NH360277,236000,827700,Corrimony,RSPB - Corrimony,01/11/2014,31/03/2015,2014-15,South Highland,Highlands,NGO
500772-NH2812815041,500772,Dundreggan Mire Restoration - Phase 3,Restoration,NH2812815041,228128,815041,Dundreggan,Trees for life,,,2015-16,South Highland,Highlands,NGO
500777-NH2440023900,500777,Glen Affric Peat Restoration Feasibility Study and Demonstration,Feasibility/restoration,NH2440023900,224400,823900,Glen Affric,FES - Inverness Ross and Sky District,,,2015-16,South Highland,Highlands,Public
500784-NH3360675088,500784,Strathvaich Estate Peatland Restoration,Restoration,NH3360675088,233606,875088,Strathvaich,Strathvaich Estate,04/12/2015,20/04/2016,2015-16,South Highland,Highlands,Private
500799-ND08052567,500799,Scaraben Flats ditch blocking and re-profiling trial,Restoration,ND08052567,308050,925670,Scaraben Flats,Welbeck Estates,,,2015-16,Northern Isles and the Northern Highland,Highlands,Private
500800-NH360277,500800,Corrimony Peatland Management (Phase 2),Restoration,NH360277,236000,827700,Corrimony nature reserve,RSPB - Corrimony,01/10/2015,23/02/2016,2015-16,South Highland,Highlands,NGO
500806-NC846491,500806,Forsinard Peatland Restoration Management 2015,Restoration,NC846491,284600,949100,Dyke,RSPB - Forsinard,,,2015-16,Northern Isles and the Northern Highland,Highlands,NGO
500806-NC857454,500806,Forsinard Peatland Restoration Management 2016,Restoration,NC857454,285700,945400,Cross Lochs,RSPB - Forsinard,,,2015-16,Northern Isles and the Northern Highland,Highlands,NGO
500806-NC944488,500806,Forsinard Peatland Restoration Management 2017,Restoration,NC944488,294400,948800,Talaheel,RSPB - Forsinard,,,2015-16,Northern Isles and the Northern Highland,Highlands,NGO
500814-NC536536,500814,Wildland Estate - North Estates Peatland Restoration,Other,NC536536,253600,953600,North Estates,Wildland ltd - 5 Northern Estates,11/12/2015,31/03/2016,2015-16,Northern Isles and the Northern Highland,Highlands,Private
500901-NC934444,500901,Forsinard Peatland Restoration Management,Restoration,NC934444,293400,944400,Forsinard - Imriche,RSPB - Forsinard,01/12/2016,28/02/2017,2016-17,Northern Isles and the Northern Highland,Highlands,NGO
500906b-NC5714219253,500906b,North Highland District (additional),Restoration,NC5714219253,257142,919253,North Highland,,01/12/2016,15/03/2017,2016-17,Northern Isles and the Northern Highland,Highlands,Public
500906b-NC3153204840,500906b,North Highland District (additional),Restoration,NC3153204840,231532,904840,North Highland,,01/12/2016,15/03/2017,2016-17,Northern Isles and the Northern Highland,Highlands,Public
